IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
11065,M,F,0,0,Partial College,Skilled Manual,0,2,1-2 Miles,North America,0,36,60000
11066,M,F,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,36,70000
11067,S,M,0,0,Partial College,Professional,1,2,5-10 Miles,North America,0,33,60000
11068,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,49,80000
11069,S,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,49,80000
11070,M,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,54,80000
11071,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,54,80000
11072,S,F,2,0,High School,Skilled Manual,0,2,1-2 Miles,Pacific,1,55,80000
11073,S,F,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,53,70000
11074,S,M,2,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,0,53,70000
11075,S,F,2,0,High School,Professional,1,2,5-10 Miles,Pacific,1,52,80000
11076,S,M,2,0,High School,Professional,1,2,5-10 Miles,Pacific,1,52,80000
11077,S,F,2,0,High School,Professional,0,2,1-2 Miles,Pacific,1,52,80000
11078,S,F,0,0,High School,Professional,0,2,1-2 Miles,North America,0,30,40000
11079,S,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,0,45,160000
11080,M,M,0,0,Graduate Degree,Management,1,2,0-1 Miles,Pacific,1,50,170000
11081,M,F,2,2,Bachelors,Management,1,3,2-5 Miles,North America,0,43,120000
11082,S,F,0,1,Graduate Degree,Management,0,3,1-2 Miles,North America,1,43,130000
11083,M,F,0,1,Graduate Degree,Management,1,3,1-2 Miles,North America,1,38,130000
11084,S,M,2,0,Partial High School,Skilled Manual,0,2,1-2 Miles,North America,1,52,80000
11085,S,F,2,0,High School,Professional,0,2,5-10 Miles,North America,0,52,60000
11086,M,M,2,1,Partial College,Professional,1,0,0-1 Miles,North America,0,52,70000
11087,M,F,3,2,Partial College,Professional,0,0,0-1 Miles,North America,0,52,70000
11088,M,M,2,1,Bachelors,Management,1,0,2-5 Miles,North America,1,52,80000
11089,S,F,2,1,Bachelors,Management,1,1,2-5 Miles,North America,1,53,80000
11090,S,M,2,0,Partial College,Professional,1,1,2-5 Miles,North America,1,46,90000
11091,M,M,2,0,Partial College,Professional,1,1,5-10 Miles,North America,0,52,90000
11092,M,F,2,2,Bachelors,Professional,1,0,1-2 Miles,Pacific,1,42,90000
11093,M,F,0,0,Graduate Degree,Management,1,0,0-1 Miles,Pacific,1,37,100000
11094,S,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,47,70000
11095,S,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,47,70000
11096,M,M,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,47,60000
11097,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,42,60000
11098,S,F,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,48,60000
11099,M,M,1,0,Bachelors,Professional,1,1,0-1 Miles,Pacific,1,49,60000
11100,S,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,49,60000
11101,S,F,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,44,70000
11102,S,F,5,5,Bachelors,Professional,1,4,1-2 Miles,Pacific,0,44,80000
11103,S,F,0,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,34,70000
11104,M,M,0,0,Bachelors,Professional,0,1,0-1 Miles,Pacific,1,40,70000
11105,S,F,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,45,70000
11106,S,M,0,0,Bachelors,Professional,0,1,5-10 Miles,Pacific,1,45,70000
11107,M,F,1,0,Bachelors,Professional,1,1,5-10 Miles,Pacific,1,39,90000
11108,S,F,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,1,46,70000
11109,S,M,0,0,Bachelors,Professional,0,2,0-1 Miles,Pacific,1,35,70000
11110,M,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,47,60000
11111,M,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,48,60000
11112,M,F,1,0,Partial College,Skilled Manual,1,1,0-1 Miles,Pacific,1,47,60000
11113,M,M,5,4,Bachelors,Professional,1,2,5-10 Miles,Pacific,0,42,70000
11114,S,F,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,47,70000
11115,M,M,5,4,Partial College,Skilled Manual,1,2,0-1 Miles,Pacific,0,48,70000
11116,M,M,5,4,Partial College,Skilled Manual,1,2,5-10 Miles,Pacific,0,36,70000
11117,M,F,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,1,49,70000
11118,S,M,1,0,Partial College,Skilled Manual,0,1,0-1 Miles,Pacific,0,52,80000
11119,S,M,2,0,Partial College,Clerical,0,2,0-1 Miles,Pacific,0,74,30000
11120,S,F,2,0,Bachelors,Management,1,1,5-10 Miles,Pacific,1,73,40000
11121,M,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,49,70000
11122,M,M,5,4,Partial College,Skilled Manual,1,3,5-10 Miles,Pacific,0,49,70000
11123,M,M,5,4,Partial College,Skilled Manual,1,3,10+ Miles,Pacific,0,49,70000
11124,S,M,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,1,47,80000
11125,S,F,1,0,Partial College,Skilled Manual,1,1,5-10 Miles,Pacific,0,53,70000
11126,M,M,2,1,High School,Skilled Manual,0,2,0-1 Miles,Pacific,1,60,10000
11127,M,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,34,40000
11128,M,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,0,34,40000
11129,S,F,0,0,High School,Skilled Manual,1,1,5-10 Miles,North America,1,34,40000
11130,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,30,30000
11131,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,30,30000
11132,S,F,0,0,High School,Skilled Manual,0,2,5-10 Miles,North America,1,29,30000
11133,S,F,0,0,Partial High School,Clerical,0,2,0-1 Miles,North America,0,29,30000
11134,S,M,5,0,High School,Skilled Manual,1,2,5-10 Miles,Pacific,1,58,10000
11135,S,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,1,30,30000
11136,S,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,31,40000
11137,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,31,40000
11138,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,31,40000
11139,S,F,2,0,Partial College,Clerical,0,2,5-10 Miles,Pacific,0,65,30000
11140,S,M,0,0,Partial High School,Clerical,0,2,5-10 Miles,North America,0,33,30000
11141,M,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,32,40000
11142,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,0,32,40000
11143,M,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,33,40000
11144,S,M,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,30,40000
11145,S,F,0,0,High School,Skilled Manual,0,2,0-1 Miles,North America,1,30,40000
11146,S,F,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,70,40000
11147,M,M,2,0,Graduate Degree,Management,1,1,0-1 Miles,Pacific,1,71,60000
11148,M,M,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,68,40000
11149,M,M,2,0,Bachelors,Management,1,2,0-1 Miles,Pacific,0,68,40000
11150,S,M,2,0,Bachelors,Management,1,2,5-10 Miles,Pacific,0,69,40000
11151,S,F,2,0,Graduate Degree,Management,0,1,0-1 Miles,Pacific,1,68,60000
11152,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,34,40000
11153,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,33,40000
11154,S,F,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,33,40000
11155,S,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,34,40000
11156,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,1,34,40000
11157,M,F,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,0,34,40000
11158,S,M,0,0,High School,Skilled Manual,1,2,5-10 Miles,North America,1,34,40000
11159,S,F,0,0,High School,Skilled Manual,0,2,1-2 Miles,North America,0,34,40000
11160,S,M,0,0,Partial College,Skilled Manual,0,1,5-10 Miles,North America,1,36,40000
11161,S,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,35,40000
11162,S,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,1,36,40000
11163,M,M,0,0,Partial College,Skilled Manual,1,1,5-10 Miles,North America,0,35,40000
11164,S,M,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,35,40000
11165,M,F,0,0,Partial College,Skilled Manual,0,1,1-2 Miles,North America,0,36,60000
11166,S,F,0,0,Partial College,Skilled Manual,0,2,0-1 Miles,North America,0,37,70000
11167,S,F,0,0,Bachelors,Management,0,1,0-1 Miles,North America,1,37,80000
11168,S,M,0,0,Bachelors,Management,0,1,0-1 Miles,North America,1,41,80000
11169,M,M,4,4,Bachelors,Management,1,1,0-1 Miles,North America,0,41,90000
11170,M,F,4,4,Bachelors,Management,1,1,0-1 Miles,North America,0,42,90000
11171,S,M,1,0,Bachelors,Management,1,2,1-2 Miles,North America,1,36,100000
11172,M,F,1,0,Bachelors,Management,1,2,1-2 Miles,North America,0,42,100000
11173,S,F,0,0,Graduate Degree,Management,0,4,0-1 Miles,North America,0,42,110000
11174,M,M,0,1,Graduate Degree,Management,1,0,2-5 Miles,North America,0,42,110000
11175,S,M,0,0,Partial College,Skilled Manual,1,2,5-10 Miles,North America,1,47,70000
11176,M,M,4,4,Bachelors,Management,1,1,1-2 Miles,North America,0,36,90000
11177,M,M,2,4,Graduate Degree,Management,1,2,5-10 Miles,North America,0,67,110000
11178,M,M,2,3,Graduate Degree,Management,1,3,1-2 Miles,North America,0,61,100000
11179,M,F,2,4,Graduate Degree,Management,1,3,5-10 Miles,North America,0,55,120000
11180,M,F,1,3,Bachelors,Management,1,4,0-1 Miles,North America,0,67,160000
11181,M,M,2,3,Graduate Degree,Management,1,2,0-1 Miles,North America,0,55,170000
11182,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,65,70000
11183,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,65,70000
11184,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,59,70000
11185,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,65,70000
11186,S,F,4,0,Bachelors,Management,1,2,10+ Miles,North America,0,65,70000
11187,M,F,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,0,66,60000
11188,M,F,4,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,65,60000
11189,S,M,4,0,Graduate Degree,Management,1,2,10+ Miles,North America,1,65,60000
11190,M,M,5,0,Bachelors,Management,1,2,10+ Miles,North America,0,65,70000
11191,S,F,5,0,Bachelors,Management,1,3,10+ Miles,North America,1,64,70000
11192,M,M,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,64,60000
11193,M,M,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,65,60000
11194,M,F,4,0,Bachelors,Management,1,2,2-5 Miles,North America,0,64,60000
11195,M,F,5,0,Bachelors,Management,1,3,10+ Miles,North America,0,64,60000
11196,M,M,5,0,Bachelors,Management,1,3,10+ Miles,North America,0,63,60000
11197,M,F,3,1,Bachelors,Management,0,1,1-2 Miles,North America,0,63,70000
11198,S,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,63,70000
11199,M,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,57,70000
11200,M,M,4,1,Bachelors,Management,1,1,1-2 Miles,North America,0,62,70000
11201,M,F,4,1,Bachelors,Management,1,1,10+ Miles,North America,0,62,70000
11202,M,F,5,0,Bachelors,Management,0,2,1-2 Miles,North America,0,57,80000
11203,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,56,40000
11204,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,61,40000
11205,M,F,2,1,High School,Professional,1,2,10+ Miles,North America,0,61,40000
11206,M,M,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,61,60000
11207,S,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,61,60000
11208,M,F,2,1,Bachelors,Management,1,0,10+ Miles,North America,0,62,60000
11209,M,F,2,1,Bachelors,Management,1,0,10+ Miles,North America,0,62,60000
11210,M,M,4,1,Partial College,Professional,1,2,10+ Miles,North America,0,61,70000
11211,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,54,40000
11212,M,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,60,40000
11213,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,60,60000
11214,S,M,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,60,60000
11215,M,F,2,1,Partial High School,Skilled Manual,1,2,10+ Miles,North America,0,54,40000
11216,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,59,60000
11217,S,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,60,60000
11218,S,F,2,1,Partial College,Professional,0,2,2-5 Miles,North America,0,54,60000
11219,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,59,60000
11220,M,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,54,60000
11221,M,M,4,2,Partial College,Professional,1,1,1-2 Miles,North America,0,59,70000
11222,M,F,3,1,Bachelors,Management,1,1,1-2 Miles,North America,0,59,80000
11223,S,F,2,1,High School,Professional,1,2,2-5 Miles,North America,0,58,70000
11224,S,F,2,1,High School,Professional,1,2,10+ Miles,North America,1,58,70000
11225,M,F,2,1,Partial College,Professional,1,1,10+ Miles,North America,0,53,60000
11226,M,F,2,1,Partial College,Professional,1,1,2-5 Miles,North America,0,53,60000
11227,S,M,2,1,Partial College,Professional,1,2,10+ Miles,North America,1,53,60000
11228,M,F,2,1,Partial College,Professional,1,2,10+ Miles,North America,0,58,60000
11229,S,M,4,2,Partial College,Professional,1,1,10+ Miles,North America,0,58,70000
11230,M,F,4,2,Partial College,Professional,0,2,2-5 Miles,North America,0,58,70000
11231,M,M,2,1,High School,Professional,1,2,10+ Miles,North America,0,51,60000
11232,M,F,3,1,High School,Professional,0,2,2-5 Miles,North America,0,57,60000
11233,M,M,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,52,70000
11234,S,F,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,57,70000
11235,M,M,4,2,Partial College,Professional,1,2,10+ Miles,North America,0,58,70000
11236,S,M,5,2,Partial College,Professional,1,2,10+ Miles,North America,0,58,70000
11237,S,M,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,1,51,130000
11238,S,F,2,3,Bachelors,Management,0,4,0-1 Miles,Europe,1,51,130000
11239,M,F,2,4,Partial College,Professional,0,2,5-10 Miles,Europe,1,45,130000
11240,M,F,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,1,51,160000
11241,S,F,2,3,Partial College,Professional,1,4,5-10 Miles,Europe,1,41,100000
11242,M,M,2,4,Partial College,Professional,1,3,5-10 Miles,Europe,1,52,110000
11243,M,F,2,3,Partial College,Professional,1,3,0-1 Miles,Europe,1,52,150000
11244,S,F,2,3,Bachelors,Management,0,3,0-1 Miles,Europe,1,46,170000
11245,M,M,3,4,High School,Professional,0,4,5-10 Miles,Europe,1,53,120000
11246,M,F,3,4,High School,Professional,0,4,5-10 Miles,Europe,1,53,120000
11247,S,F,3,4,Partial College,Professional,0,3,0-1 Miles,Europe,1,53,130000
11248,M,M,3,4,Partial College,Professional,1,4,10+ Miles,Europe,0,49,110000
11249,M,F,3,4,Partial College,Professional,1,3,0-1 Miles,Europe,1,49,130000
11250,M,F,3,4,High School,Professional,1,2,5-10 Miles,Europe,1,49,170000
11251,S,M,4,0,High School,Professional,0,2,5-10 Miles,North America,1,77,30000
11252,S,M,3,0,Graduate Degree,Management,1,1,2-5 Miles,North America,1,77,90000
11253,M,M,2,0,Graduate Degree,Management,1,2,1-2 Miles,North America,0,66,60000
11254,M,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,77,70000
11255,M,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,76,70000
11256,M,F,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,76,70000
11257,S,F,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,1,77,120000
11258,M,M,1,2,Graduate Degree,Management,1,4,2-5 Miles,North America,0,76,120000
11259,M,F,4,1,Partial College,Professional,1,4,2-5 Miles,North America,1,45,100000
11260,M,F,2,2,Bachelors,Management,1,3,2-5 Miles,North America,0,39,110000
11261,M,F,1,2,Graduate Degree,Management,1,1,0-1 Miles,North America,1,44,130000
11262,M,F,4,3,Bachelors,Management,1,0,0-1 Miles,North America,0,40,80000
11263,M,F,5,5,Partial College,Professional,1,3,2-5 Miles,North America,1,45,90000
11264,S,M,5,5,Partial College,Professional,0,3,0-1 Miles,North America,1,45,90000
11265,M,F,5,5,Partial College,Professional,1,3,0-1 Miles,North America,1,45,90000
11266,S,F,0,0,Partial College,Professional,0,1,5-10 Miles,North America,1,45,90000
11267,S,M,4,2,Partial College,Professional,1,4,2-5 Miles,North America,1,39,120000
11268,M,F,2,2,Graduate Degree,Management,1,2,1-2 Miles,North America,0,45,130000
11269,M,M,2,2,Graduate Degree,Management,1,2,0-1 Miles,North America,0,39,130000
11270,M,M,2,2,Graduate Degree,Management,1,3,0-1 Miles,North America,1,40,130000
11271,S,F,2,0,Bachelors,Management,0,4,1-2 Miles,North America,1,45,150000
11272,S,F,4,3,Partial College,Professional,1,0,5-10 Miles,North America,1,53,70000
11273,M,M,2,1,Partial College,Professional,1,0,10+ Miles,North America,0,53,90000
11274,M,M,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,75,50000
11275,M,F,4,0,Graduate Degree,Management,1,2,0-1 Miles,North America,1,76,80000
11276,M,F,4,3,Partial College,Professional,1,2,2-5 Miles,North America,0,41,80000
11277,M,M,4,3,Partial College,Professional,1,2,0-1 Miles,North America,0,46,80000
11278,S,M,0,0,Partial College,Professional,0,1,10+ Miles,North America,1,46,90000
11279,M,F,0,0,Partial College,Professional,1,1,10+ Miles,North America,0,41,90000
11280,M,M,0,0,Partial College,Professional,1,1,10+ Miles,North America,0,46,90000
11281,S,F,4,2,Bachelors,Management,1,4,5-10 Miles,North America,1,40,110000
11282,M,M,5,4,Partial College,Professional,1,4,1-2 Miles,North America,1,48,90000
11283,M,M,1,3,Bachelors,Management,1,2,1-2 Miles,North America,0,47,110000
11284,M,F,1,3,Bachelors,Management,1,2,1-2 Miles,North America,0,48,110000
11285,M,M,1,3,Partial College,Professional,0,4,2-5 Miles,North America,0,42,120000
11286,M,M,0,0,Graduate Degree,Management,1,4,2-5 Miles,North America,1,48,170000
11287,M,M,5,4,Partial College,Professional,0,3,5-10 Miles,North America,0,49,70000
11288,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,0,37,110000
11289,M,F,1,3,Bachelors,Management,1,1,0-1 Miles,North America,1,43,130000
11290,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,1,43,130000
11291,M,F,1,3,Bachelors,Management,1,3,2-5 Miles,North America,1,43,130000
11292,S,M,1,2,Partial College,Professional,0,3,0-1 Miles,North America,1,48,150000
11293,S,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,54,60000
11294,M,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,54,60000
11295,S,F,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,1,55,80000
11296,S,F,2,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,74,50000
11297,S,M,4,0,Graduate Degree,Management,1,2,5-10 Miles,North America,1,75,70000
11298,M,M,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,1,75,70000
11299,M,M,4,0,Graduate Degree,Management,1,2,1-2 Miles,North America,1,73,70000
11300,M,M,5,4,Partial College,Professional,0,3,1-2 Miles,North America,0,50,80000
11301,M,M,5,4,Partial College,Professional,1,4,5-10 Miles,North America,0,49,80000
11302,S,M,4,3,High School,Professional,0,3,1-2 Miles,North America,1,43,90000
11303,S,F,4,3,High School,Professional,0,3,1-2 Miles,North America,1,49,90000
11304,M,F,0,3,Partial College,Professional,1,0,5-10 Miles,North America,0,44,100000
11305,M,M,3,3,Partial College,Professional,0,4,2-5 Miles,North America,0,49,110000
11306,M,M,3,3,Partial College,Professional,0,4,2-5 Miles,North America,0,49,110000
11307,M,M,2,0,Partial High School,Skilled Manual,1,2,5-10 Miles,North America,1,49,80000
11308,M,M,2,0,High School,Professional,0,2,1-2 Miles,North America,0,56,60000
11309,S,F,2,0,High School,Professional,1,2,5-10 Miles,North America,0,55,60000
11310,S,F,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,51,70000
11311,S,F,3,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,56,70000
11312,S,F,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,56,70000
11313,S,M,3,0,Graduate Degree,Management,1,2,5-10 Miles,North America,0,57,70000
11314,S,F,3,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,45,70000
11315,S,F,3,0,Graduate Degree,Management,0,2,1-2 Miles,North America,0,56,70000
